Universität Augsburg;https://www.uni-augsburg.de/
Universität Bayreuth;https://www.uni-bayreuth.de/
Universität Bielefeld;https://www.uni-bielefeld.de/
Universität Bremen;https://www.uni-bremen.de/
Universität der Bundeswehr München;https://www.unibw.de/
Universität des Saarlandes;https://www.uni-saarland.de/
Universität Duisburg-Essen;https://www.uni-due.de/
Universität Erfurt;https://www.uni-erfurt.de/
Universität Greifswald;https://www.uni-greifswald.de/
Universität Hamburg;https://www.uni-hamburg.de/
Universität Hildesheim;https://www.uni-hildesheim.de/
Universität Hohenheim;https://www.uni-hohenheim.de/
Universität Kassel;https://www.uni-kassel.de/uni/
Universität Koblenz;https://www.uni-koblenz.de/
Universität Konstanz;https://www.uni-konstanz.de/
Universität Leipzig;https://www.uni-leipzig.de/
Universität Mannheim;https://www.uni-mannheim.de/
Universität Münster;https://www.uni-muenster.de/
Universität Osnabrück;https://www.uni-osnabrueck.de/
Universität Paderborn;http://www.uni-paderborn.de/
Universität Passau;https://www.uni-passau.de/
Universität Potsdam;https://www.uni-potsdam.de/
Universität Regensburg;https://www.uni-regensburg.de/
Universität Rostock;https://www.uni-rostock.de/
Universität Siegen;https://www.uni-siegen.de/
Universität Stuttgart;https://www.uni-stuttgart.de/
Universität Trier;https://www.uni-trier.de/
Universität Ulm;https://www.uni-ulm.de
Universität Vechta;https://www.uni-vechta.de/
Universität Witten/Herdecke;https://www.uni-wh.de/
Universität zu Köln;https://www.uni-koeln.de/
Universität zu Lübeck;http://www.uni-luebeck.de/
VPU Vinzenz Pallotti University;https://vp-uni.de/
WHU – Otto Beisheim School of Management;https://www.whu.edu/de/
Zeppelin Universität – Hochschule zwischen Wirtschaft, Kultur und Politik;https://www.zu.de/
